timestamp,flex1,flex2
1772275015.482342,3606,3210
1772275018.0372825,3606,3210
1772275020.596472,3606,3210
1772275023.1621718,3606,3210
1772275025.7276156,3606,3210
1772275028.3225844,3606,3210
1772275030.8307936,3606,3210
1772275033.4031334,3606,3210
1772275035.9511433,3606,3210
1772275038.5165155,3606,3210
1772275041.0807815,3606,3210
1772275043.65788,3606,3210
1772275046.1968508,3606,3210
1772275048.728744,3606,3210
1772275051.3104923,3606,3210
1772275053.8841836,3606,3210
1772275056.4295368,3606,3210
1772275058.991688,3606,3210
1772275061.4070475,1615,1567
1772275063.9639318,1615,1567
1772275066.418072,1065,1076
1772275068.9169862,1065,1076
1772275071.477677,1065,1076
1772275074.0363474,1065,1076
1772275076.4852488,1065,1076
1772275078.997186,1065,1076
1772275081.563094,452,542
1772275084.0968184,452,542
1772275086.6521754,452,542
1772275089.2103834,452,542
1772275091.691853,452,542
1772275094.1678011,452,542
1772275096.641038,452,542
1772275099.051097,452,542
1772275101.537282,452,542
1772275103.9518845,452,542
1772275106.4898977,452,542
1772275109.057132,452,542
1772275111.527721,452,542
1772275114.0055847,122,128
1772275116.5024793,122,128
1772275118.9748292,122,128
1772275121.5262134,122,128
1772275123.9464154,122,128
1772275126.417402,122,128
1772275128.8820748,122,128
1772275131.3779938,230,186
1772275133.7732835,230,186
1772275136.1943915,1392,1364
1772275138.6783829,1392,1364
1772275141.2096426,1392,1364
1772275143.6358469,176,145
1772275146.2034633,176,145
1772275148.644879,176,145
1772275151.1373415,176,145
1772275153.7159393,176,145
1772275156.1832137,74,87
1772275158.6856503,74,87
1772275161.0916297,74,87
1772275163.637853,74,87
1772275166.101426,74,87
1772275168.596405,74,87
1772275171.1652968,74,87
1772275173.576741,74,87
1772275176.0134406,491,444
1772275178.4215624,491,444
1772275180.8484416,491,444
1772275183.31837,491,444
1772275185.7762506,491,444
1772275188.2625654,491,444
1772275190.6523209,491,444
1772275193.209567,987,978
1772275195.7040932,987,978
1772275198.2108848,987,978
1772275200.6591573,987,978
1772275203.1428795,987,978
1772275205.6061795,1287,1294
1772275208.0198805,1287,1294
1772275210.4092019,1287,1294
1772275212.9141054,1287,1294
1772275215.3303196,1287,1294
1772275217.7678778,1287,1294
1772275220.2454395,1287,1294
1772275222.629353,1287,1294
1772275225.0833588,882,864
1772275227.6373615,882,864
1772275230.684006,882,864
1772275233.1310701,882,864
1772275235.5445545,658,650
1772275238.0453184,658,650
1772275240.5213408,658,650
1772275242.9875593,313,301
1772275245.560987,313,301
1772275247.9817357,313,301
1772275250.5066772,313,301
1772275252.955436,313,301
1772275255.3893466,313,301
1772275257.8884978,313,301
1772275260.3579502,1442,1393
1772275264.456806,1442,1393
1772275266.916619,1442,1393
1772275269.4084299,1442,1393
1772275271.852142,75,78
1772275274.357734,75,78
1772275276.9101856,75,78
1772275279.3791795,1165,1114
1772275281.900689,1165,1114
1772275284.4368987,701,657
1772275286.8514786,701,657
1772275289.2918458,429,393
1772275291.7267826,429,393
1772275294.1999922,1216,1161
1772275296.6693885,1216,1161
1772275299.1588519,1216,1161
1772275301.6300633,1216,1161
1772275304.1215281,1216,1161
1772275306.5932832,496,501
1772275309.072886,496,501
1772275311.5079536,496,501
1772275313.9664304,1250,1207
1772275316.4448273,1250,1207
1772275320.9882543,1250,1207
1772275323.4980724,1250,1207
1772275325.9496856,792,784
1772275328.4382105,792,784
1772275331.7719314,792,784
1772275334.2992592,792,784
1772275336.7777743,792,784
1772275339.2252104,792,784
1772275341.7352931,792,784
1772275344.2010791,792,784
1772275347.2019482,792,784
1772275349.7172992,792,784
1772275352.189367,792,784
1772275354.6848032,792,784
